date,bubble_proxy,breakdown_proxy,market_heat_proxy,market_breakdown_proxy,liquidity_stress_proxy,semiconductor_strength_proxy,tsmc_3m_yoy,ndx_close,ndx_dd,ndx_dist200,sox_dd,sox_dist200,vix,baa10y_proxy,dfii10,event_bucket
2016-01-31,20.678721988540108,53.1063584930769,29.54242856807081,46.24893880152941,38.090960092539035,5.1875,-15.85,4279.169921875,-9.32136555065728,-4.136190740482959,-53.953163681368025,-6.749756600807222,20.2,3.48,0.53,Normal/control
2016-02-29,19.77794985690081,50.534918156940115,28.089153626001245,44.06275266998794,34.933369872701554,7.6,-13.92,4201.1201171875,-10.975296064591921,-5.210808362438013,-53.320627999022506,-3.984133885044072,20.55,3.55,0.32,Normal/control
2016-03-31,30.078416170723344,35.75165516377118,40.79547689899469,26.52358403209797,19.224406712363123,14.5625,-8.35,4483.66015625,-4.988072984601355,1.4581412143052308,-49.21026580265264,5.607287202836231,13.95,3.12,0.16,Normal/control
2016-04-30,23.37599600547773,38.51750367708626,30.239993854581122,30.67985125866497,24.09020174482006,18.6,-5.12,4341.2998046875,-8.00478943080396,-1.8280922381795905,-51.5775861342529,0.9986356227831505,15.7,2.86,0.12,Normal/control
2016-05-31,35.207540451790656,33.16958150295474,47.21012517352369,21.366085598452248,23.049551381860645,22.562500000000004,-1.95,4523.89013671875,-4.1355712706167,2.7899568941982533,-47.52425505535769,9.322313170154883,14.19,2.84,0.3,Normal/control
2016-06-30,32.75036335492738,33.61566917223662,39.62748208450366,24.415173158487836,27.4895464311917,34.9625,7.97,4417.7001953125,-6.385811166384913,0.05951857282424644,-48.10126634452382,6.50153006443186,15.63,2.92,0.09,Normal/control
2016-07-31,43.19823992099321,25.991000000000003,54.24076728567059,18.333333333333336,14.702857142857143,37.025,9.62,4730.22998046875,0.0,6.399172177049284,-42.46546258176155,15.97490438729594,11.87,2.71,-0.03,Normal/control
2016-08-31,51.12790997616191,25.717275601732485,58.424787787570544,20.42113862766196,19.529323483670296,51.5375,21.23,4771.0498046875,-1.1615686193586772,6.767125369394411,-39.86178804300236,18.697276704756383,13.42,2.61,0.11,Normal/control
2016-09-30,54.72691119904996,25.259108930526864,63.136686426543875,18.568109690653177,21.538455913522675,53.175,22.54,4875.7001953125,-0.32014957816342005,8.682512101543827,-37.30162990015135,21.258765410188985,13.29,2.69,0.0,Normal/control
2016-10-31,50.52608869132246,26.362833134189266,57.94808741373871,20.591997565045176,26.68981208548268,61.22500000000001,28.98,4801.27001953125,-2.2138666948300245,6.100783649108021,-38.20803676663744,16.321003329786123,17.06,2.61,0.11,Normal/control
2016-11-30,48.82075846822534,22.13452195700671,55.072245558106275,20.249771015570463,16.198928571428578,63.237500000000004,30.59,4810.81005859375,-2.0195673682545046,4.701955175477135,-34.009890706158174,19.59199546261674,13.33,2.45,0.43,Normal/control
2016-12-31,49.122493272087866,23.814826410903006,55.08678181084089,22.395899486915468,16.997633262260123,61.0625,28.85,4863.6201171875,-2.057870522643168,4.413704392756435,-31.983973949149114,18.824100279548063,14.04,2.28,0.5,Normal/control
2017-01-31,56.4716242764741,21.24407757896047,62.592572851590894,19.17528319224517,13.629143264143268,60.775,28.62,5116.77001953125,-0.9924427828041926,8.497858302982241,-29.146935753276047,19.795829895500372,11.99,2.23,0.4,Normal/control
2017-02-28,55.063362667691294,25.791697676980526,61.64796953768806,21.370446764408655,17.507133237133235,49.7625,19.81,5330.31005859375,-0.4076848786652376,11.125332519193476,-27.26358534068091,18.461602830188852,12.92,2.19,0.34,Normal/control
2017-03-31,52.096761355047256,25.532417067734478,60.9517487047121,16.600999809888453,19.427049009384778,43.6875,14.95,5436.22998046875,-0.0645298075828693,10.828102215961355,-24.11065712963618,18.42205512182582,12.37,2.24,0.43,Normal/control
2017-04-30,49.45492029794267,27.24460323582038,57.50020955838219,18.56570409038459,16.371532557563754,34.199999999999996,7.36,5583.52978515625,0.0,11.61406966222891,-24.55110607302401,13.890999961451023,10.82,2.28,0.37,Normal/control
2017-05-31,56.81404729105767,24.51031747986244,71.28295847732605,9.72262241354385,15.350392553622019,26.187499999999996,0.95,5788.7998046875,-0.10061174299142994,13.27961359013694,-18.10643866798611,19.315950170733576,10.41,2.23,0.4,Normal/control
2017-06-30,45.9522390288263,30.151544926402586,56.35780653475322,19.083062799413156,16.190476190476186,20.5125,-3.59,5646.919921875,-4.0504288774318,8.220521677297189,-22.34660813920557,9.331722511111117,11.18,2.09,0.58,Normal/control
2017-07-31,49.11414626503169,25.416092990415713,61.31585085296594,12.122468621118598,13.317091745463843,23.5,-1.2,5880.330078125,-1.1830464930321805,10.644487619391052,-18.576903024842906,11.47073798250764,10.26,2.06,0.48,Normal/control
2017-08-31,48.68371095673844,25.48219751898739,60.51353217117314,9.358529607966869,16.673883415435146,22.825,-1.74,5988.60009765625,0.0,10.11263142701,-16.38891036263602,10.96662138546096,10.59,2.14,0.36,Normal/control
2017-09-30,45.18896394035798,23.993066439301703,56.25340674935445,8.779426837101047,12.128069607446376,21.0125,-3.19,5979.2998046875,-0.41769639187539953,7.718172523921818,-12.079715515797984,13.765963123349012,9.51,2.0,0.49,Normal/control
2017-10-31,54.028626392818836,20.83298525066387,66.74483864734432,2.245015710670273,13.75779480246357,24.9625,-0.03,6248.56005859375,0.0,10.117492504082959,-4.285939084006884,19.93472693676197,10.18,1.91,0.5,Normal/control
2017-11-30,49.203701518565886,23.048074388729766,58.340932490526185,6.7829757658047045,14.909243697478992,26.1125,0.89,6365.56005859375,-0.8874965664778967,9.803985937903349,-5.153194523144311,15.61560076706765,11.28,1.88,0.56,Normal/control
2017-12-31,44.91999552639531,21.652902883303426,50.49595271999759,9.732195532636453,10.67404255319149,32.3125,5.85,6396.419921875,-1.7940312209666298,8.398810615578478,-6.6065854593215345,11.12666958779187,11.04,1.77,0.44,Normal/control
2018-01-31,57.05603415600516,19.748313259487183,67.41668204334648,2.136354610528782,15.15558195642638,32.587500000000006,6.07,6949.990234375,-1.0391611844586701,14.937164893120247,-2.251481533059274,16.958129696492975,13.54,1.56,0.61,Normal/control
2018-02-28,51.005984803066106,24.745572313844022,61.14961072641982,4.22257542960755,24.97975248720178,29.4875,3.59,6854.419921875,-2.399985872252486,11.385298759738038,-2.214146873673628,14.192111630578829,19.85,1.68,0.75,Normal/control
2018-03-31,40.58203639419459,26.745804018819054,46.29733905040059,13.350975874288096,20.72247107254117,32.574999999999996,6.06,6581.1298828125,-7.712536394519676,5.001315981850918,-8.091845772491302,8.544435192733314,19.97,1.85,0.69,Normal/control
2018-04-30,37.31076485706612,23.43661646265781,37.955633238797944,17.60442547257291,13.491785714285715,46.037499999999994,16.83,6605.56982421875,-7.369814059113422,3.834572105929901,-13.935956608179467,-0.29257018124086986,15.93,1.79,0.78,Normal/control
2018-05-31,47.26174790607173,17.510208857770763,50.04334968771395,5.5028166295970395,16.99697535557742,54.574999999999996,23.66,6967.72998046875,-2.2912268203833186,7.706082910719192,-4.626877604568347,8.107747973464186,15.43,1.89,0.76,Normal/control
2018-06-30,39.309592831123524,25.83345722236504,42.21013742264396,12.35885450107866,21.548493419656126,36.35,9.08,7040.7998046875,-3.295018118991544,6.657741975435449,-9.143099177673808,0.5636064313084832,16.09,1.99,0.74,Normal/control
